Maturity,Strike,Market Price,Black-Scholes Price
2025-03-21,5.0,207.07,207.69068732600212
2025-03-21,10.0,203.37,202.691372210598
2025-03-21,15.0,223.85,197.6920570951939
2025-03-21,20.0,192.14,192.69274197978976
2025-03-21,25.0,210.01,187.69342686438563
2025-03-21,30.0,229.0,182.6941117489815
2025-03-21,35.0,201.75,177.69479663357737
2025-03-21,40.0,177.52,172.69548151817324
2025-03-21,45.0,168.28,167.6961664027691
2025-03-21,50.0,163.35,162.696851287365
2025-03-21,55.0,158.3,157.69753617196088
2025-03-21,60.0,161.51,152.69822105655675
2025-03-21,65.0,170.3,147.69890594115262
2025-03-21,70.0,142.08,142.6995908257485
2025-03-21,75.0,137.2,137.70027571034439
2025-03-21,80.0,132.1,132.70096059494023
2025-03-21,85.0,128.31,127.70164547953611
2025-03-21,90.0,121.95,122.702330364132
2025-03-21,95.0,117.15,117.70301524872787
2025-03-21,100.0,112.92,112.70370013332374
2025-03-21,105.0,107.05,107.70438501791962
2025-03-21,110.0,102.62,102.70506990251549
2025-03-21,115.0,97.29,97.70575478711136
2025-03-21,120.0,92.12,92.70643967170724
2025-03-21,125.0,88.1,87.70712455630311
2025-03-21,130.0,82.02,82.70780944089898
2025-03-21,135.0,77.31,77.70849432549485
2025-03-21,140.0,72.12,72.70917921009072
2025-03-21,145.0,68.2,67.70986409468662
2025-03-21,150.0,62.89,62.71054897928249
2025-03-21,155.0,59.08,57.71123386387836
2025-03-21,160.0,52.38,52.71191874847423
2025-03-21,162.5,52.15,50.21226119077218
2025-03-21,165.0,47.3,47.7126036330701
2025-03-21,167.5,45.94,45.21294607536805
2025-03-21,170.0,42.1,42.71328851766597
2025-03-21,172.5,40.89,40.21363095996392
2025-03-21,175.0,37.2,37.71397340226187
2025-03-21,177.5,35.5,35.21431584455979
2025-03-21,180.0,32.38,32.71465828685774
2025-03-21,182.5,32.01,30.215000729155662
2025-03-21,185.0,27.22,27.71534317145361
2025-03-21,187.5,26.55,25.21568561375156
2025-03-21,190.0,23.15,22.71602805604948
2025-03-21,192.5,19.9,20.21637049834746
2025-03-21,195.0,17.6,17.716712940649188
2025-03-21,197.5,15.25,15.217055385270982
2025-03-21,200.0,13.3,12.717398351417785
2025-03-21,202.5,10.8,10.217787227066225
2025-03-21,205.0,8.55,7.719831958853632
2025-03-21,207.5,6.52,5.247439293463202
2025-03-21,210.0,4.7,2.950939396639143
2025-03-21,212.5,3.15,1.213427316322111
